threshold_label,tau,a14_benign_flag_n,a14_benign_flag_rate,a14_aivr_n,a14_aivr,a14_pairwise_discordant_n,a14_pairwise_total,a14_pairwise_aivr,n3_auth_flag_n,n3_auth_flag_rate,n3_alt_flag_n,n3_alt_flag_rate,n3_alt_minus_auth_mean,n3_alt_minus_auth_ci95_lo,n3_alt_minus_auth_ci95_hi,n3_base_positive_n,n3_base_zero_n,n3_base_negative_n,balanced_accuracy_descriptive,a14_nondegenerate,a14_central_20_80
interval_13_14,-1.5938060420315363,0,0.0,0,0.0,0,144,0.0,0,0.0,14,0.2916666666666667,0.2916666666666667,0.125,0.4583333333333333,8,16,0,0.6458333333333334,0,0
breakpoint_14,-1.576028769254147,0,0.0,0,0.0,0,144,0.0,0,0.0,15,0.3125,0.3125,0.14583333333333334,0.4791666666666667,9,15,0,0.65625,0,0
interval_14_15,-1.5478459189339946,0,0.0,0,0.0,0,144,0.0,0,0.0,15,0.3125,0.3125,0.14583333333333334,0.4791666666666667,9,15,0,0.65625,0,0
breakpoint_15,-1.5196630686138421,0,0.0,0,0.0,0,144,0.0,0,0.0,16,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,10,14,0,0.6666666666666666,0,0
interval_15_16,-1.5180168871021187,0,0.0,0,0.0,0,144,0.0,0,0.0,16,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.5,10,14,0,0.6666666666666666,0,0
breakpoint_16,-1.5163707055903954,0,0.0,0,0.0,0,144,0.0,0,0.0,17,0.3541666666666667,0.3541666666666667,0.1875,0.5208333333333334,11,13,0,0.6770833333333334,0,0
interval_16_17,-1.48516533090354,0,0.0,0,0.0,0,144,0.0,0,0.0,17,0.3541666666666667,0.3541666666666667,0.1875,0.5208333333333334,11,13,0,0.6770833333333334,0,0
breakpoint_17,-1.4539599562166847,0,0.0,0,0.0,0,144,0.0,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,0,0
interval_17_18,-1.2959709449014531,0,0.0,0,0.0,0,144,0.0,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,0,0
breakpoint_18,-1.1379819335862218,1,0.010416666666666666,1,0.041666666666666664,3,144,0.020833333333333332,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_18_19,-1.108231637148364,1,0.010416666666666666,1,0.041666666666666664,3,144,0.020833333333333332,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_19,-1.0784813407105063,2,0.020833333333333332,2,0.08333333333333333,6,144,0.041666666666666664,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
interval_19_20,-1.0715456182144243,2,0.020833333333333332,2,0.08333333333333333,6,144,0.041666666666666664,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
breakpoint_20,-1.0646098957183423,3,0.03125,3,0.125,9,144,0.0625,0,0.0,18,0.375,0.375,0.20833333333333334,0.5416666666666666,12,12,0,0.6875,1,0
