excluded_suite,n_valid_decisions_remaining,n_tasks_remaining,H_difference,H_ci_low,H_ci_high,M_difference,M_ci_low,M_ci_high
banking,26,22,0.4920634920634921,-0.009259259259259245,0.9047619047619048,0.21846344834005973,-0.4976535442406205,0.7324246930223981
slack,15,14,0.6333333333333333,0.07142857142857145,1.0,0.9927488581031031,-0.3573358037829671,2.564479701760256
travel,28,24,0.7023809523809523,0.35185185185185186,1.0,1.1158893455424161,0.35994947557470813,2.1983682848624864
workspace,18,15,0.4444444444444444,-0.2916666666666667,0.9583333333333334,1.5758413493271,-0.3021288181100697,4.2603434756238805
