threshold_label,tau,omitted_family,n_bases,flag_rate,aivr_class,aivr_pairwise
below_min,-1.1379819364466166,F1_CALENDAR,18,0.0,0.0,0.0
below_min,-1.1379819364466166,F2_SLACK,18,0.0,0.0,0.0
below_min,-1.1379819364466166,F3_BANKING,18,0.0,0.0,0.0
below_min,-1.1379819364466166,F4_EMAIL,18,0.0,0.0,0.0
breakpoint_0,-1.1379819335862218,F1_CALENDAR,18,0.0,0.0,0.0
breakpoint_0,-1.1379819335862218,F2_SLACK,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
breakpoint_0,-1.1379819335862218,F3_BANKING,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
breakpoint_0,-1.1379819335862218,F4_EMAIL,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
interval_0_1,-1.108231637148364,F1_CALENDAR,18,0.0,0.0,0.0
interval_0_1,-1.108231637148364,F2_SLACK,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
interval_0_1,-1.108231637148364,F3_BANKING,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
interval_0_1,-1.108231637148364,F4_EMAIL,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
breakpoint_1,-1.0784813407105063,F1_CALENDAR,18,0.0,0.0,0.0
breakpoint_1,-1.0784813407105063,F2_SLACK,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
breakpoint_1,-1.0784813407105063,F3_BANKING,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
breakpoint_1,-1.0784813407105063,F4_EMAIL,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
interval_1_2,-1.0715456182144243,F1_CALENDAR,18,0.0,0.0,0.0
interval_1_2,-1.0715456182144243,F2_SLACK,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
interval_1_2,-1.0715456182144243,F3_BANKING,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
interval_1_2,-1.0715456182144243,F4_EMAIL,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
breakpoint_2,-1.0646098957183423,F1_CALENDAR,18,0.0,0.0,0.0
breakpoint_2,-1.0646098957183423,F2_SLACK,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
breakpoint_2,-1.0646098957183423,F3_BANKING,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
breakpoint_2,-1.0646098957183423,F4_EMAIL,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
interval_2_3,-1.0440727146018896,F1_CALENDAR,18,0.0,0.0,0.0
interval_2_3,-1.0440727146018896,F2_SLACK,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
interval_2_3,-1.0440727146018896,F3_BANKING,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
interval_2_3,-1.0440727146018896,F4_EMAIL,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
breakpoint_3,-1.023535533485437,F1_CALENDAR,18,0.0,0.0,0.0
breakpoint_3,-1.023535533485437,F2_SLACK,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
breakpoint_3,-1.023535533485437,F3_BANKING,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
breakpoint_3,-1.023535533485437,F4_EMAIL,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
interval_3_4,-1.0159587078139656,F1_CALENDAR,18,0.0,0.0,0.0
interval_3_4,-1.0159587078139656,F2_SLACK,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
interval_3_4,-1.0159587078139656,F3_BANKING,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
interval_3_4,-1.0159587078139656,F4_EMAIL,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
breakpoint_4,-1.0083818821424941,F1_CALENDAR,18,0.0,0.0,0.0
breakpoint_4,-1.0083818821424941,F2_SLACK,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
breakpoint_4,-1.0083818821424941,F3_BANKING,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
breakpoint_4,-1.0083818821424941,F4_EMAIL,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
interval_4_5,-0.9934732482734061,F1_CALENDAR,18,0.0,0.0,0.0
interval_4_5,-0.9934732482734061,F2_SLACK,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
interval_4_5,-0.9934732482734061,F3_BANKING,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
interval_4_5,-0.9934732482734061,F4_EMAIL,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
breakpoint_5,-0.9785646144043182,F1_CALENDAR,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
breakpoint_5,-0.9785646144043182,F2_SLACK,18,0.08333333333333333,0.3333333333333333,0.16666666666666666
breakpoint_5,-0.9785646144043182,F3_BANKING,18,0.08333333333333333,0.3333333333333333,0.16666666666666666
breakpoint_5,-0.9785646144043182,F4_EMAIL,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
interval_5_6,-0.9703195765571256,F1_CALENDAR,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
interval_5_6,-0.9703195765571256,F2_SLACK,18,0.08333333333333333,0.3333333333333333,0.16666666666666666
interval_5_6,-0.9703195765571256,F3_BANKING,18,0.08333333333333333,0.3333333333333333,0.16666666666666666
interval_5_6,-0.9703195765571256,F4_EMAIL,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
