threshold_label,tau,omitted_family,n_bases,flag_rate,aivr_class,aivr_pairwise
below_min,-1.9017638831711028,F1_CALENDAR,18,0.0,0.0,0.0
below_min,-1.9017638831711028,F2_SLACK,18,0.0,0.0,0.0
below_min,-1.9017638831711028,F3_BANKING,18,0.0,0.0,0.0
below_min,-1.9017638831711028,F4_EMAIL,18,0.0,0.0,0.0
breakpoint_0,-1.9017638796235217,F1_CALENDAR,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
breakpoint_0,-1.9017638796235217,F2_SLACK,18,0.0,0.0,0.0
breakpoint_0,-1.9017638796235217,F3_BANKING,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
breakpoint_0,-1.9017638796235217,F4_EMAIL,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
interval_0_1,-1.8731008936242666,F1_CALENDAR,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
interval_0_1,-1.8731008936242666,F2_SLACK,18,0.0,0.0,0.0
interval_0_1,-1.8731008936242666,F3_BANKING,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
interval_0_1,-1.8731008936242666,F4_EMAIL,18,0.013888888888888888,0.05555555555555555,0.027777777777777776
breakpoint_1,-1.8444379076250115,F1_CALENDAR,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
breakpoint_1,-1.8444379076250115,F2_SLACK,18,0.0,0.0,0.0
breakpoint_1,-1.8444379076250115,F3_BANKING,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
breakpoint_1,-1.8444379076250115,F4_EMAIL,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
interval_1_2,-1.8105192462784871,F1_CALENDAR,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
interval_1_2,-1.8105192462784871,F2_SLACK,18,0.0,0.0,0.0
interval_1_2,-1.8105192462784871,F3_BANKING,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
interval_1_2,-1.8105192462784871,F4_EMAIL,18,0.027777777777777776,0.1111111111111111,0.05555555555555555
breakpoint_2,-1.776600584931963,F1_CALENDAR,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
breakpoint_2,-1.776600584931963,F2_SLACK,18,0.0,0.0,0.0
breakpoint_2,-1.776600584931963,F3_BANKING,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
breakpoint_2,-1.776600584931963,F4_EMAIL,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
interval_2_3,-1.7741289516228893,F1_CALENDAR,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
interval_2_3,-1.7741289516228893,F2_SLACK,18,0.0,0.0,0.0
interval_2_3,-1.7741289516228893,F3_BANKING,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
interval_2_3,-1.7741289516228893,F4_EMAIL,18,0.041666666666666664,0.16666666666666666,0.08333333333333333
breakpoint_3,-1.7716573183138156,F1_CALENDAR,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
breakpoint_3,-1.7716573183138156,F2_SLACK,18,0.0,0.0,0.0
breakpoint_3,-1.7716573183138156,F3_BANKING,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
breakpoint_3,-1.7716573183138156,F4_EMAIL,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
interval_3_4,-1.7417679761745162,F1_CALENDAR,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
interval_3_4,-1.7417679761745162,F2_SLACK,18,0.0,0.0,0.0
interval_3_4,-1.7417679761745162,F3_BANKING,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
interval_3_4,-1.7417679761745162,F4_EMAIL,18,0.05555555555555555,0.2222222222222222,0.1111111111111111
breakpoint_4,-1.7118786340352166,F1_CALENDAR,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
breakpoint_4,-1.7118786340352166,F2_SLACK,18,0.0,0.0,0.0
breakpoint_4,-1.7118786340352166,F3_BANKING,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
breakpoint_4,-1.7118786340352166,F4_EMAIL,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
interval_4_5,-1.6640662358012817,F1_CALENDAR,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
interval_4_5,-1.6640662358012817,F2_SLACK,18,0.0,0.0,0.0
interval_4_5,-1.6640662358012817,F3_BANKING,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
interval_4_5,-1.6640662358012817,F4_EMAIL,18,0.06944444444444445,0.2777777777777778,0.1388888888888889
breakpoint_5,-1.6162538375673468,F1_CALENDAR,18,0.08333333333333333,0.3333333333333333,0.16666666666666666
breakpoint_5,-1.6162538375673468,F2_SLACK,18,0.0,0.0,0.0
breakpoint_5,-1.6162538375673468,F3_BANKING,18,0.08333333333333333,0.3333333333333333,0.16666666666666666
