excluded_task,H_difference
banking/user_task_0,0.5904761904761904
banking/user_task_13,0.5904761904761904
banking/user_task_14,0.6111111111111112
slack/user_task_1,0.6349206349206349
slack/user_task_10,0.657142857142857
slack/user_task_13,0.6111111111111112
slack/user_task_15,0.7777777777777778
slack/user_task_17,0.6349206349206349
slack/user_task_18,0.5904761904761904
slack/user_task_19,0.5904761904761904
slack/user_task_2,0.6349206349206349
slack/user_task_4,0.6349206349206349
slack/user_task_7,0.6349206349206349
slack/user_task_9,0.6349206349206349
travel/user_task_3,0.7904761904761904
workspace/user_task_12,0.6111111111111112
workspace/user_task_13,0.6349206349206349
workspace/user_task_15,0.6349206349206349
workspace/user_task_21,0.6349206349206349
workspace/user_task_4,0.6111111111111112
workspace/user_task_6,0.6111111111111112
workspace/user_task_8,0.6111111111111112
workspace/user_task_9,0.6349206349206349
